Date,Actual,ARIMA_Forecast
2023-10-18,173.8031005859375,175.25172254888892
2023-10-19,173.42750549316406,175.34456837648793
2023-10-20,170.8773956298828,175.29158108189674
2023-10-23,170.99598693847656,175.2958500527965
2023-10-24,171.43089294433594,175.22925734322087
2023-10-25,169.1179962158203,175.2385357009514
2023-10-26,164.95677185058594,175.24426188589962
2023-10-27,166.2713623046875,175.2428404407862
2023-10-30,168.3173828125,175.24329534090322
2023-10-31,168.79183959960938,175.24034558770282
2023-11-01,171.9547576904297,175.2408200074489
2023-11-02,175.51309204101562,175.24112531164516
2023-11-03,174.60369873046875,175.2410948484102
2023-11-06,177.15382385253906,175.24112206258792
2023-11-07,179.71385192871094,175.24098864353024
2023-11-08,180.7714385986328,175.24101113907807
2023-11-09,180.2969970703125,175.24102642079802
2023-11-10,184.4834899902344,175.24102630953752
2023-11-13,182.89993286132807,175.24102770407742
2023-11-14,185.5127868652344,175.24102158934815
2023-11-15,186.0769500732422,175.24102261125645
2023-11-16,187.75946044921875,175.24102335202815
2023-11-17,187.7396545410156,175.24102339791526
2023-11-20,189.4815826416016,175.2410234649455
2023-11-21,188.67990112304688,175.24102318242208
2023-11-22,189.343002319336,175.24102322753183
2023-11-24,188.0167999267578,175.24102326280925
2023-11-27,187.8386383056641,175.2410232670532
2023-11-28,188.44235229492188,175.24102327018437
2023-11-29,187.4229431152344,175.24102325706681
2023-11-30,187.9970092773437,175.24102325901384
2023-12-01,189.2737274169922,175.2410232606764
2023-12-04,187.4823608398437,175.24102326096462
2023-12-05,191.43130493164065,175.24102326110932
2023-12-06,190.34263610839844,175.2410232604985
2023-12-07,192.27256774902344,175.24102326058085
2023-12-08,193.69776916503903,175.2410232606587
2023-12-11,191.1937866210937,175.24102326067612
2023-12-12,192.70806884765625,175.2410232606828
2023-12-13,195.92466735839844,175.24102326065432
2023-12-14,196.07308959960932,175.24102326065773
2023-12-15,195.53863525390625,175.24102326066136
2023-12-18,193.8759307861328,175.24102326066236
2023-12-19,194.9151611328125,175.24102326066267
2023-12-20,192.82684326171875,175.24102326066134
2023-12-21,192.6783447265625,175.24102326066148
2023-12-22,191.6094665527344,175.24102326066165
2023-12-26,191.06512451171875,175.2410232606617
2023-12-27,191.16412353515625,175.24102326066173
2023-12-28,191.5896759033203,175.24102326066168
2023-12-29,190.55047607421875,175.24102326066168
2024-01-02,183.7313232421875,175.24102326066168
2024-01-03,182.3555908203125,175.24102326066168
2024-01-04,180.0396728515625,175.24102326066168
2024-01-05,179.31715393066406,175.24102326066168
2024-01-08,183.652099609375,175.24102326066168
2024-01-09,183.23643493652344,175.24102326066168
2024-01-10,184.275634765625,175.24102326066168
2024-01-11,183.68182373046875,175.24102326066168
2024-01-12,184.0084381103516,175.24102326066168
2024-01-16,181.7419891357422,175.24102326066168
2024-01-17,180.80172729492188,175.24102326066168
2024-01-18,186.6905670166016,175.24102326066168
2024-01-19,189.5904693603516,175.24102326066168
2024-01-22,191.896484375,175.24102326066168
2024-01-23,193.17323303222656,175.24102326066168
2024-01-24,192.50021362304688,175.24102326066168
2024-01-25,192.17361450195312,175.24102326066168
2024-01-26,190.4415740966797,175.24102326066168
2024-01-29,189.75868225097656,175.24102326066168
2024-01-30,186.10659790039065,175.24102326066168
2024-01-31,182.5040435791016,175.24102326066168
2024-02-01,184.9387664794922,175.24102326066168
2024-02-02,183.93914794921875,175.24102326066168
2024-02-05,185.7503204345703,175.24102326066168
2024-02-06,187.35366821289065,175.24102326066168
2024-02-07,187.4625396728516,175.24102326066168
2024-02-08,186.3837432861328,175.24102326066168
2024-02-09,187.14682006835932,175.24102326066168
2024-02-12,185.462142944336,175.24102326066168
2024-02-13,183.3711700439453,175.24102326066168
2024-02-14,182.4891815185547,175.24102326066168
2024-02-15,182.20181274414065,175.24102326066168
2024-02-16,180.6657867431641,175.24102326066168
2024-02-20,179.92254638671875,175.24102326066168
2024-02-21,180.6757202148437,175.24102326066168
2024-02-22,182.7071990966797,175.24102326066168
2024-02-23,180.87391662597656,175.24102326066168
2024-02-26,179.52615356445312,175.24102326066168
2024-02-27,180.98291015625,175.24102326066168
2024-02-28,179.7838134765625,175.24102326066168
2024-02-29,179.11990356445312,175.24102326066168
2024-03-01,178.03968811035156,175.24102326066168
2024-03-04,173.52084350585938,175.24102326066168
2024-03-05,168.5857391357422,175.24102326066168
2024-03-06,167.59475708007812,175.24102326066168
2024-03-07,167.47584533691406,175.24102326066168
2024-03-08,169.1902313232422,175.24102326066168
2024-03-11,171.1920166015625,175.24102326066168
2024-03-12,171.6676788330078,175.24102326066168
2024-03-13,169.58663940429688,175.24102326066168
2024-03-14,171.4397735595703,175.24102326066168
2024-03-15,171.06317138671875,175.24102326066168
2024-03-18,172.15325927734375,175.24102326066168
2024-03-19,174.4919891357422,175.24102326066168
2024-03-20,177.05862426757812,175.24102326066168
2024-03-21,169.824462890625,175.24102326066168
2024-03-22,170.7262420654297,175.24102326066168
2024-03-25,169.30914306640625,175.24102326066168
2024-03-26,168.17942810058594,175.24102326066168
2024-03-27,171.74693298339844,175.24102326066168
2024-03-28,169.9334716796875,175.24102326066168
2024-04-01,168.49655151367188,175.24102326066168
2024-04-02,167.31727600097656,175.24102326066168
2024-04-03,168.1199493408203,175.24102326066168
2024-04-04,167.29745483398438,175.24102326066168
2024-04-05,168.0506134033203,175.24102326066168
2024-04-08,166.93080139160156,175.24102326066168
2024-04-09,168.13978576660156,175.24102326066168
2024-04-10,166.26681518554688,175.24102326066168
2024-04-11,173.46133422851562,175.24102326066168
2024-04-12,174.95774841308594,175.24102326066168
2024-04-15,171.13255310058594,175.24102326066168
2024-04-16,167.85240173339844,175.24102326066168
2024-04-17,166.48484802246094,175.24102326066168
2024-04-18,165.53350830078125,175.24102326066168
2024-04-19,163.5118865966797,175.24102326066168
2024-04-22,164.34432983398438,175.24102326066168
2024-04-23,165.39476013183594,175.24102326066168
2024-04-24,167.4956512451172,175.24102326066168
2024-04-25,168.35781860351562,175.24102326066168
2024-04-26,167.77310180664062,175.24102326066168
2024-04-29,171.9352569580078,175.24102326066168
2024-04-30,168.7938232421875,175.24102326066168
2024-05-01,167.77310180664062,175.24102326066168
2024-05-02,171.469482421875,175.24102326066168
2024-05-03,181.72613525390625,175.24102326066168
2024-05-06,180.0712127685547,175.24102326066168
2024-05-07,180.7549743652344,175.24102326066168
2024-05-08,181.0919189453125,175.24102326066168
2024-05-09,182.9053955078125,175.24102326066168
2024-05-10,181.6451568603516,175.24102326066168
2024-05-13,184.8503570556641,175.24102326066168
2024-05-14,185.9915313720703,175.24102326066168
2024-05-15,188.2639617919922,175.24102326066168
2024-05-16,188.383041381836,175.24102326066168
2024-05-17,188.41281127929688,175.24102326066168
2024-05-20,189.5738220214844,175.24102326066168
2024-05-21,190.873779296875,175.24102326066168
2024-05-22,189.4348907470703,175.24102326066168
2024-05-23,185.4457397460937,175.24102326066168
2024-05-24,188.5219573974609,175.24102326066168
2024-05-28,188.53192138671875,175.24102326066168
2024-05-29,188.8295745849609,175.24102326066168
2024-05-30,189.8219146728516,175.24102326066168
2024-05-31,190.77456665039065,175.24102326066168
2024-06-03,192.54087829589844,175.24102326066168
2024-06-04,192.8584442138672,175.24102326066168
2024-06-05,194.3667755126953,175.24102326066168
2024-06-06,192.98741149902344,175.24102326066168
2024-06-07,195.37892150878903,175.24102326066168
2024-06-10,191.63784790039065,175.24102326066168
2024-06-11,205.5601806640625,175.24102326066168
2024-06-12,211.43478393554688,175.24102326066168
2024-06-13,212.5957794189453,175.24102326066168
2024-06-14,210.8592071533203,175.24102326066168
2024-06-17,215.0071258544922,175.24102326066168
2024-06-18,212.64537048339844,175.24102326066168
2024-06-20,208.07077026367188,175.24102326066168
2024-06-21,205.8975982666016,175.24102326066168
2024-06-24,206.54258728027344,175.24102326066168
2024-06-25,207.4654693603516,175.24102326066168
2024-06-26,211.61338806152344,175.24102326066168
2024-06-27,212.4568634033203,175.24102326066168
2024-06-28,209.0035552978516,175.24102326066168
2024-07-01,215.0865020751953,175.24102326066168
2024-07-02,218.5794982910156,175.24102326066168
2024-07-03,219.8496856689453,175.24102326066168
2024-07-05,224.60292053222656,175.24102326066168
2024-07-08,226.0715484619141,175.24102326066168
2024-07-09,226.92495727539065,175.24102326066168
2024-07-10,231.19195556640625,175.24102326066168
2024-07-11,225.823486328125,175.24102326066168
2024-07-12,228.77069091796875,175.24102326066168
2024-07-15,232.60104370117188,175.24102326066168
2024-07-16,233.01785278320312,175.24102326066168
2024-07-17,227.1234130859375,175.24102326066168
2024-07-18,222.45948791503903,175.24102326066168
2024-07-19,222.5884704589844,175.24102326066168
2024-07-22,222.2411956787109,175.24102326066168
2024-07-23,223.2831268310547,175.24102326066168
2024-07-24,216.8627777099609,175.24102326066168
2024-07-25,215.8208465576172,175.24102326066168
2024-07-26,216.2872314453125,175.24102326066168
2024-07-29,216.5650787353516,175.24102326066168
2024-07-30,217.1208038330078,175.24102326066168
2024-07-31,220.3756103515625,175.24102326066168
2024-08-01,216.6841735839844,175.24102326066168
2024-08-02,218.1726531982422,175.24102326066168
2024-08-05,207.66395568847656,175.24102326066168
2024-08-06,205.6395568847656,175.24102326066168
2024-08-07,208.209701538086,175.24102326066168
2024-08-08,211.6729278564453,175.24102326066168
2024-08-09,214.5804443359375,175.24102326066168
2024-08-12,216.11038208007807,175.24102326066168
2024-08-13,219.82598876953125,175.24102326066168
2024-08-14,220.27305603027344,175.24102326066168
2024-08-15,223.25347900390625,175.24102326066168
2024-08-16,224.5747985839844,175.24102326066168
2024-08-19,224.4158477783203,175.24102326066168
2024-08-20,225.03176879882807,175.24102326066168
2024-08-21,224.9225006103516,175.24102326066168
2024-08-22,223.0647125244141,175.24102326066168
2024-08-23,225.3596343994141,175.24102326066168
2024-08-26,225.6974029541016,175.24102326066168
2024-08-27,226.54185485839844,175.24102326066168
2024-08-28,225.0119171142578,175.24102326066168
2024-08-29,228.29037475585932,175.24102326066168
2024-08-30,227.50552368164065,175.24102326066168
2024-09-03,221.31619262695312,175.24102326066168
2024-09-04,219.40872192382807,175.24102326066168
2024-09-05,220.92874145507807,175.24102326066168
2024-09-06,219.37892150878903,175.24102326066168
2024-09-09,219.4683380126953,175.24102326066168
2024-09-10,218.67355346679688,175.24102326066168
2024-09-11,221.2069091796875,175.24102326066168
2024-09-12,221.31619262695312,175.24102326066168
2024-09-13,221.04795837402344,175.24102326066168
2024-09-16,214.9082946777344,175.24102326066168
2024-09-17,215.3751983642578,175.24102326066168
2024-09-18,219.24978637695312,175.24102326066168
2024-09-19,227.3763885498047,175.24102326066168
2024-09-20,226.7107696533203,175.24102326066168
2024-09-23,224.9920654296875,175.24102326066168
2024-09-24,225.8861541748047,175.24102326066168
2024-09-25,224.89268493652344,175.24102326066168
2024-09-26,226.0352020263672,175.24102326066168
2024-09-27,226.3034210205078,175.24102326066168
2024-09-30,231.4794158935547,175.24102326066168
2024-10-01,224.73374938964844,175.24102326066168
2024-10-02,225.300033569336,175.24102326066168
2024-10-03,224.197265625,175.24102326066168
2024-10-04,225.3198699951172,175.24102326066168
2024-10-07,220.2432556152344,175.24102326066168
2024-10-08,224.296615600586,175.24102326066168
2024-10-09,228.04200744628903,175.24102326066168
2024-10-10,227.5452880859375,175.24102326066168
2024-10-11,226.0650177001953,175.24102326066168
2024-10-14,229.79052734375,175.24102326066168
2024-10-15,232.32388305664065,175.24102326066168
2024-10-16,230.2673797607422,175.24102326066168
2024-10-17,230.6349639892578,175.24102326066168
2024-10-18,233.46636962890625,175.24102326066168
2024-10-21,234.93670654296875,175.24102326066168
2024-10-22,234.3207855224609,175.24102326066168
2024-10-23,229.2540435791016,175.24102326066168
2024-10-24,229.0653076171875,175.24102326066168
2024-10-25,229.8998413085937,175.24102326066168
2024-10-28,231.8768310546875,175.24102326066168
2024-10-29,232.1450653076172,175.24102326066168
2024-10-30,228.598373413086,175.24102326066168
2024-10-31,224.43569946289065,175.24102326066168
2024-11-01,221.4552764892578,175.24102326066168
2024-11-04,220.56114196777344,175.24102326066168
2024-11-05,221.99176025390625,175.24102326066168
2024-11-06,221.2665252685547,175.24102326066168
2024-11-07,225.99545288085932,175.24102326066168
2024-11-08,225.72691345214844,175.24102326066168
2024-11-11,223.01174926757807,175.24102326066168
2024-11-12,223.01174926757807,175.24102326066168
2024-11-13,223.8969116210937,175.24102326066168
2024-11-14,226.9800720214844,175.24102326066168
2024-11-15,223.777572631836,175.24102326066168
2024-11-18,226.7811737060547,175.24102326066168
2024-11-19,227.0397491455078,175.24102326066168
2024-11-20,227.75582885742188,175.24102326066168
2024-11-21,227.27847290039065,175.24102326066168
2024-11-22,228.62110900878903,175.24102326066168
2024-11-25,231.60479736328125,175.24102326066168
2024-11-26,233.7829132080078,175.24102326066168
2024-11-27,233.65359497070312,175.24102326066168
2024-11-29,236.0405731201172,175.24102326066168
2024-12-02,238.28829956054688,175.24102326066168
2024-12-03,241.3316650390625,175.24102326066168
2024-12-04,241.6897125244141,175.24102326066168
2024-12-05,241.7195587158203,175.24102326066168
2024-12-06,241.5206298828125,175.24102326066168
2024-12-09,245.409408569336,175.24102326066168
2024-12-10,246.42385864257807,175.24102326066168
2024-12-11,245.1508026123047,175.24102326066168
2024-12-12,246.6128387451172,175.24102326066168
2024-12-13,246.7819061279297,175.24102326066168
2024-12-16,249.6761016845703,175.24102326066168
2024-12-17,252.1028289794922,175.24102326066168
2024-12-18,246.70233154296875,175.24102326066168
2024-12-19,248.4328765869141,175.24102326066168
2024-12-20,253.1073760986328,175.24102326066168
2024-12-23,253.88311767578125,175.24102326066168
2024-12-24,256.7972412109375,175.24102326066168
2024-12-26,257.6127319335937,175.24102326066168
2024-12-27,254.2013702392578,175.24102326066168
2024-12-30,250.8297882080078,175.24102326066168
